企业名称,曾用名,法定代表人,联系电话,邮箱地址,官方网站,企业地址,所属行业,公司类型,经营状态,经营方式,人员规模,所属地区,营业期限,经营范围,注册资本,实缴资本,成立日期,核准日期,登记机关,统一社会信用代码,纳税人识别号,注册号,组织机构代码
全通教育集团(广东)股份有限公司,广东全通教育股份有限公司,陈炽昌,18933424254,sumandan@qtone.cn,http://www.qk100.com,中山市东区中山四路88号尚峰金融商务中心5座18层之一,信息传输、软件和信息技术服务业,股份有限公司(上市、自然人投资或控股),存续,销售,-,广东省,2005-06-09 至 无固定期限,"计算机软、硬件的研发、销售;销售:电化教学设备、教学软件、电子产品、百货;设计、制作、发布、代理各类广告业务;教育信息咨询;设备租赁;计算机信息系统集成;企业管理咨询、商品流通信息咨询(不含劳务、金融期货、房地产、出国留学);电子商务信息技术开发及推广;安全技术防范系统设计、施工、维修;国内版图书、期刊、报纸批发零售(中小学教材除外);第二类增值电信业务中的呼叫中心业务和信息服务业务(不含固定网电话信息服务和互联网信息服务);互联网信息服务业务(按许可证核定的项目经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)〓",63377.2477万人民币元,9720万人民币元,2005-06-09,2016-11-21,中山市工商行政管理局,'91442000776910159G,'91442000776910159G,'442000000042296,77691015-9
深圳熊谷物业管理有限公司,-,黄刚,0755-82463168,fion.huang@hkcholdings.com.cn,暂无,深圳市罗湖区桂园街道深南东路5002号信兴广场主楼2楼08-09单元,房地产业,有限责任公司（台港澳与境内合资）,存续（在营、开业、在册）,-,合资 / 100-499人,广东省,1995-03-27 至 2045-03-27,"从事房地产经纪、评估、咨询、代理业务及物业经营管理、以服务外包方式从事商业管理。(以上项目不涉及国家规定实施准入特别管理措施,涉及限制项目及前置性行政许可的,须取得前置性行政许可文件后方可经营) 。;停车场机动车停放服务(仅限分支机构经营)。;",6000万港元,6000万港元,1995-03-27,2018-03-23,深圳市市场监督管理局,'914403006188866597,'914403006188866597,'440301501122454,61888665-9
深圳市聚电网络科技有限公司,-,王宏晖,0755-33115321,ueee@ueee.cn,http://www.ueee.cn,深圳市前海深港合作区前湾一路1号A栋201室(入驻深圳市前海商务秘书有限公司),信息传输、软件和信息技术服务业,有限责任公司,存续（在营、开业、在册）,-,50-99人,广东省,2014-09-26 至 无固定期限,"计算机软硬件及互联网技术开发,网络信息技术软件技术咨询、销售,计算机数据库服务,计算机系统分析,提供计算机技术服务,通用软件、行业应用软件、嵌入式软件的研发(以上项目法律、行政法规、国务院决定禁止的项目除外,限制的项目须取得许可后方可经营);网上从事国内贸易(不含专营、专控、专卖商品);电动汽车充电桩设计、销售,汽车租赁(不含金融租赁);电动汽车充电桩生产;电动汽车充电设施的运营;",5000万人民币元,941.1764万人民币元,2014-09-26,2018-04-10,深圳市市场监督管理局,'914403003193904188,'914403003193904188,'440301111395261,31939041-8
广汽丰田汽车有限公司,广州丰田汽车有限公司,吴松,020-39398787,暂无,www.gac-toyota.com.cn,广州市南沙区黄阁镇市南大道8号,制造业,有限责任公司(中外合资),存续,-,-,广东省,2004-09-01 至 2034-09-01,"汽车零配件批发;汽车零配件零售;汽车零部件及配件制造(不含汽车发动机制造);汽车整车制造;品牌汽车销售;(依法须经批准的项目,经相关部门批准后方可开展经营活动)〓",84223.61万美元,-,2004-09-01,2018-03-05,广州市南沙区市场和质量监督管理局,'91440101717852200L,'91440101717852200L,'440101400012270,71785220-0
广东健业纺织集团有限公司,广东健业纺织有限公司,许建设,0757-82515521,暂无,暂无,佛山市禅城区朗宝西路38号一座、二座、三座,制造业,有限责任公司(自然人投资或控股),存续,-,-,广东省,2003-03-07 至 无固定期限,"生产、销售:针织布,服装。销售:纺织品,纺织原料;货物进出口,技术进出口。(依法须经批准的项目,经相关部门批准后方可开展经营活动)〓",6000万人民币元,6000万人民币元,2003-03-07,2016-11-03,佛山市禅城区市场监督管理局,'91440604748003412L,'91440604748003412L,'440602000034585,748003412
广东远通集团有限公司,-,杨少君,020-37233268,暂无,http://www.gdyuantong.cn,广州市天河区广州大道中1416、1418、1420、1422号十六楼B、C区,批发和零售业,有限责任公司(自然人投资或控股),存续,-,500-999人,广东省,1997-10-09 至 无固定期限,"销售:百货,针、纺织品,工艺美术品,五金、交电、化工产品(不含危险化学品),金属材料,建筑材料,日用杂货,普通机械,汽车、摩托车零配件,矿产品(不含钨、锡、锑);商贸信息咨询;酒店投资、投资管理;房地产投资及信息咨询,物业管理(持有效资质证书经营)。〓(依法须经批准的项目,经相关部门批准后方可开展经营活动)〓",6000万人民币元,6000万人民币元,1997-10-09,2016-10-11,广东省工商行政管理局,'91440000231131446G,'91440000231131446G,'440000000059065,23113144-6
深圳市中吉号茶业股份有限公司,深圳市中吉号茶业有限公司   深圳市中吉合昌茶业有限公司,杨世华,0755-82683132,27419348@qq.com,暂无,深圳市罗湖区黄贝街道新秀路新秀村瑞思国际大厦A座2406,批发和零售业,非上市股份有限公司,存续（在营、开业、在册）,-,上市公司 / 100-499人,广东省,2007-01-25 至 无固定期限,"茶叶种植、茶文化活动策划,投资兴办实业(具体项目另行申报),经营电子商务,国内贸易,从事货物及技术的进出口业务。;茶叶销售,茶叶加工;预包装食品零售(不含复热预包装食品)。;",3722.50万人民币元,1000万人民币元,2007-01-25,2017-12-18,深圳市市场监督管理局,'91440300797968587M,'91440300797968587M,'440301103622520,79796858-7
惠州酷友网络科技有限公司,-,王成,0752-2385647,wangzhenwei@tcl.com,暂无,惠州市鹅岭南路6号TCL集团大厦4楼,批发和零售业,其他有限责任公司,存续,-,1000-4999人,广东省,2012-07-06 至 无固定期限,"食品流通;电子商务,酒店预订服务,票务代理服务,计算机平面及立体设计制作,企业管理咨询,企业营销策划,广告经营,物业管理,进出口贸易,销售:电子产品、家用电器、五金交电、通讯产品、电子元器件、计算机软硬件、汽车零配件、服装鞋帽、箱包、针纺织品、日用百货、工艺品、化妆品。(依法须经批准的项目,经相关部门批准后方可开展经营活动)〓",50000万人民币元,5000万人民币元,2012-07-06,2017-08-16,惠州市工商行政管理局,'91441300598977712N,'91441300598977712N,'441300000189988,59897771-2
广州跃势生物科技股份有限公司,广州跃势生物科技有限公司   广州跃势投资咨询有限公司,王启光,020-89205505,14646492@qq.com,暂无,广州市海珠区琶洲大道东1号707房,科学研究和技术服务业,其他股份有限公司(非上市),存续,-,私营企业,广东省,2011-09-01 至 无固定期限,"生物技术推广服务;风险投资;药品研发;生物技术开发服务;商品批发贸易(许可审批类商品除外);商品零售贸易(许可审批类商品除外);服装批发;服装零售;其他人造首饰、饰品批发;其他人造首饰、饰品零售;婴儿用品批发;婴儿用品零售;水晶首饰批发;钻石首饰零售;货物进出口(专营专控商品除外);非许可类医疗器械经营(即不需申请《医疗器械经营企业许可证》即可经营的医疗器械”,包括第一类医疗器械和国家规定不需申请《医疗器械经营企业许可证》即可经营的第二类医疗器械);医疗用品及器材零售(不含药品及医疗器械);(依法须经批准的项目,经相关部门批准后方可开展经营活动)〓",1000万人民币元,100万人民币元,2011-09-01,2017-08-15,广州市工商行政管理局,'91440101581876333M,'91440101581876333M,'440105000194766,58187633-3
深圳市风景智联科技有限公司,-,孙莉莉,0755-86437888,pengcb@fengjing.com,www.iscenes.com.cn,深圳市前海深港合作区前湾一路1号A栋201室(入驻深圳市前海商务秘书有限公司)经营场所:深圳市福田区泰然六路泰然苍松大厦北座601.602-135,批发和零售业,有限责任公司,存续（在营、开业、在册）,-,100-499人,广东省,2013-04-26 至 2033-04-26,"软件开发与应用、技术开发;网络技术开发与推广;初农产品销售;国内贸易(不含专营、专卖、专控商品);在网上从事商贸活动(不含限制项目);信息技术服务、技术咨询、技术转让;提供计算机网络服务;会务策划、订房服务、票务代理、机票销售代理、旅游信息咨询、会展策划;企业营销策划;从事广告业务(法律法规、国务院规定需另行办理广告经营审批的,需取得许可后方可经营)。(以上法律、行政法规、国务院决定禁止的项目除外,限制的项目须取得许可后方可经营);经营快递业务;互联网信息服务;仓储服务;预包装食品的销售。;",5000万人民币元,5000万人民币元,2013-04-26,2017-11-17,深圳市市场监督管理局,'91440300067993625C,'91440300067993625C,'440301107209778,06799362-5
